n,s,label,time
2048,1,Quick_Merge_Sort_s=1,0
2048,1,Merge_Quick_Sort_s=1,0.00115
4096,1,Quick_Merge_Sort_s=1,0
4096,1,Merge_Quick_Sort_s=1,0.002033
8192,1,Quick_Merge_Sort_s=1,0.001017
8192,1,Merge_Quick_Sort_s=1,0.00302
16384,1,Quick_Merge_Sort_s=1,0.001995
16384,1,Merge_Quick_Sort_s=1,0.007027
32768,1,Quick_Merge_Sort_s=1,0.003974
32768,1,Merge_Quick_Sort_s=1,0.013993
2048,2,Quick_Merge_Sort_s=2,0
2048,2,Merge_Quick_Sort_s=2,0.001024
4096,2,Quick_Merge_Sort_s=2,0.001034
4096,2,Merge_Quick_Sort_s=2,0.001031
8192,2,Quick_Merge_Sort_s=2,0.000986
8192,2,Merge_Quick_Sort_s=2,0.003018
16384,2,Quick_Merge_Sort_s=2,0.004021
16384,2,Merge_Quick_Sort_s=2,0.00502
32768,2,Quick_Merge_Sort_s=2,0.006478
32768,2,Merge_Quick_Sort_s=2,0.011016
2048,3,Quick_Merge_Sort_s=3,0.001512
2048,3,Merge_Quick_Sort_s=3,0
4096,3,Quick_Merge_Sort_s=3,0.001003
4096,3,Merge_Quick_Sort_s=3,0.001019
8192,3,Quick_Merge_Sort_s=3,0.002001
8192,3,Merge_Quick_Sort_s=3,0.003011
16384,3,Quick_Merge_Sort_s=3,0.00356
16384,3,Merge_Quick_Sort_s=3,0.005068
32768,3,Quick_Merge_Sort_s=3,0.008008
32768,3,Merge_Quick_Sort_s=3,0.011067
2048,4,Quick_Merge_Sort_s=4,0
2048,4,Merge_Quick_Sort_s=4,0.001022
4096,4,Quick_Merge_Sort_s=4,0.001
4096,4,Merge_Quick_Sort_s=4,0.001014
8192,4,Quick_Merge_Sort_s=4,0.002021
8192,4,Merge_Quick_Sort_s=4,0.002023
16384,4,Quick_Merge_Sort_s=4,0.005016
16384,4,Merge_Quick_Sort_s=4,0.005118
32768,4,Quick_Merge_Sort_s=4,0.007996
32768,4,Merge_Quick_Sort_s=4,0.009002
2048,5,Quick_Merge_Sort_s=5,0.001098
2048,5,Merge_Quick_Sort_s=5,0.000985
4096,5,Quick_Merge_Sort_s=5,0.002091
4096,5,Merge_Quick_Sort_s=5,0.000997
8192,5,Quick_Merge_Sort_s=5,0.001992
8192,5,Merge_Quick_Sort_s=5,0.002105
16384,5,Quick_Merge_Sort_s=5,0.004043
16384,5,Merge_Quick_Sort_s=5,0.005141
32768,5,Quick_Merge_Sort_s=5,0.008512
32768,5,Merge_Quick_Sort_s=5,0.009059
