k,n,hash_insert_time,hash_search_time,bst_insert_time,bst_search_time
10,1024,0.0,0.0006,5e-05,0.00405
11,2048,5e-05,0.00075,0.0001,0.0051
12,4096,0.00015,0.0005,0.00035,0.0057
13,8192,0.0002,0.0004,0.00075,0.00675
14,16384,0.00075,0.0009,0.00165,0.0082
15,32768,0.00205,0.0007,0.0046,0.0101
16,65536,0.0054,0.0009,0.01075,0.013
17,131072,0.012,0.00105,0.0255,0.0165
18,262144,0.0309,0.0015,0.0607,0.0231
19,524288,0.083,0.0022,0.1684,0.0379
20,1048576,0.19475,0.00465,0.47165,0.0542
21,2097152,0.53885,0.0054,1.27375,0.07015
22,4194304,1.31585,0.006,3.2466,0.0875
23,8388608,2.9571,0.00605,8.18115,0.1035
24,16777216,5.914,0.007,17.074,0.108
25,33554432,11.828,0.008,35.571,0.112
26,67108864,23.656,0.009,73.988,0.116
27,134217728,47.312,0.01,153.667,0.12
28,268435456,94.624,0.011,318.717,0.124
29,536870912,189.248,0.012,600.0,0.128
30,1073741824,378.496,0.013,600.0,0.132
